,Aux,Environment,Num_of_points,R2,Slope,C,N
0,C,Fum_Glcn,8,0.9948990911685717,0.002226401828089295,Fum,Glcn
1,C,Fum_Glut,6,0.8205310080628089,0.002502717900656045,Fum,Glut
2,C,Gluc_Glcn,7,0.9894630309569081,0.002479400046871338,Gluc,Glcn
3,C,Gluc_Glut,8,0.9185039965239621,0.003452030233784497,Gluc,Glut
4,C,Gluc_NoN,5,0.9558414388508079,0.006707116104868915,Gluc,NoN
5,C,Gly_Glcn,7,0.9924084940291207,0.0028416217483009146,Gly,Glcn
6,C,Gly_Glut,6,0.9159857549016606,0.007442549203373946,Gly,Glut
7,C,Gly_NoN,6,0.9733185282796581,0.00361630740393627,Gly,NoN
8,F,Fum_Glcn,3,0.9759056642453627,0.022611764705882356,Fum,Glcn
9,F,Fum_Glut,3,0.9952195121951222,0.020200000000000003,Fum,Glut
10,F,Fum_NoN,6,0.9493393530668388,0.002545079662605436,Fum,NoN
11,F,Gluc_Glcn,3,0.9936995552380443,0.021423529411764706,Gluc,Glcn
12,F,Gluc_Glut,3,0.9618502093525078,0.06687058823529411,Gluc,Glut
13,F,Gluc_NoN,3,0.9300312794193568,0.028823529411764706,Gluc,NoN
14,F,Gly_Glcn,4,0.9976699629936324,0.014286567164179104,Gly,Glcn
15,F,Gly_Glut,3,0.9404332003567698,0.029870588235294118,Gly,Glut
16,L,Fum_Glcn,6,0.997178356124371,0.0026121836925960635,Fum,Glcn
17,L,Fum_Glut,6,0.9978950723550174,0.004357825679475164,Fum,Glut
18,L,Fum_NoN,7,0.9841549525945427,0.0011812983360674947,Fum,NoN
19,L,Gluc_Glcn,6,0.9850399488730591,0.002893908153701968,Gluc,Glcn
20,L,Gluc_Glut,6,0.9972354681886686,0.0028221180880974696,Gluc,Glut
21,L,Gluc_NoN,6,0.980488243521419,0.0022727272727272726,Gluc,NoN
22,L,Gly_Glcn,6,0.9953986069786608,0.0029955014058106843,Gly,Glcn
23,L,Gly_Glut,5,0.9998702226271593,0.004517602996254682,Gly,Glut
24,L,Gly_NoN,7,0.9975469971779207,0.001545816733067729,Gly,NoN
25,M,Fum_Glcn,4,0.9987683046780541,0.01233134328358209,Fum,Glcn
26,M,Fum_Glut,5,0.9987021885180026,0.01151985018726592,Fum,Glut
27,M,Fum_NoN,4,0.9967345664885223,0.008555223880597016,Fum,NoN
28,M,Gluc_Glcn,5,0.9871578147164659,0.011483895131086143,Gluc,Glcn
29,M,Gluc_Glut,6,0.9946518684226086,0.00866522961574508,Gluc,Glut
30,M,Gluc_NoN,4,0.9965534401048564,0.010743283582089553,Gluc,NoN
31,M,Gly_Glcn,5,0.9835833056398946,0.011399250936329588,Gly,Glcn
32,M,Gly_Glut,6,0.9984590417569686,0.009347328959700092,Gly,Glut
33,M,Gly_NoN,5,0.9956615699440737,0.006968539325842697,Gly,NoN
34,R,Gly_Glut,7,0.9881250514711145,0.0018367471291305365,Gly,Glut
35,S,Gluc_Glut,8,0.980778289026271,0.00010328938887912346,Gluc,Glut
