,Aux,Environment,Num_of_points,R2,Slope,C,N
0,C,Fum_Glcn,8,0.8183517738664461,0.0006144723735864534,Fum,Glcn
1,C,Fum_Glut,8,0.9794638168039945,0.000566543622194879,Fum,Glut
2,C,Gluc_Glcn,5,0.9985309627558305,0.00421123595505618,Gluc,Glcn
3,C,Gluc_Glut,6,0.9966133230174407,0.002107029053420806,Gluc,Glut
4,C,Gluc_NoN,5,0.9996598331171048,0.0035895131086142325,Gluc,NoN
5,C,Gly_Glcn,8,0.7494805064231385,0.0011358762524169448,Gly,Glcn
6,C,Gly_Glut,7,0.9987067479533439,0.001295945629247715,Gly,Glut
7,C,Gly_NoN,7,0.9911510518282843,0.0013231778767283807,Gly,NoN
8,F,Fum_Glcn,6,0.8594408478209293,0.016494283036551077,Fum,Glcn
9,F,Fum_Glut,7,0.9186779777873813,0.00099957815795641,Fum,Glut
10,F,Fum_NoN,7,0.6157213677083329,0.0005921724865244903,Fum,NoN
11,F,Gluc_Glcn,3,0.9087240523267074,0.011952941176470588,Gluc,Glcn
12,F,Gly_Glcn,6,0.9066064458317166,0.0056249297094657915,Gly,Glcn
13,F,Gly_Glut,8,0.7176068080237434,0.00045566297533251296,Gly,Glut
14,F,Gly_NoN,4,0.6131020852935878,0.005567164179104478,Gly,NoN
15,L,Fum_Glcn,8,0.9723108259672342,0.0014368195933673169,Fum,Glcn
16,L,Fum_Glut,6,0.9085663303485902,0.0021229615745079664,Fum,Glut
17,L,Gluc_Glcn,6,0.9845215403013197,0.0027141518275538897,Gluc,Glcn
18,L,Gluc_Glut,5,0.9295080742141372,0.003089887640449438,Gluc,Glut
19,L,Gluc_NoN,6,0.9885914528049949,0.0026944704779756326,Gluc,NoN
20,L,Gly_Glcn,6,0.8923963189075436,0.0020125585754451735,Gly,Glcn
21,L,Gly_Glut,7,0.9337345059278931,0.0015160534333255214,Gly,Glut
22,L,Gly_NoN,7,0.9293088308953644,0.0013508319662526365,Gly,NoN
23,M,Fum_Glcn,7,0.9738521735270316,0.005700351535036325,Fum,Glcn
24,M,Fum_Glut,4,0.9833235781874939,0.009382089552238806,Fum,Glut
25,M,Fum_NoN,8,0.9033473823410966,0.0006091756020390226,Fum,NoN
26,M,Gluc_Glcn,4,0.9971748218696922,0.010223880597014925,Gluc,Glcn
27,M,Gluc_Glut,4,0.9990777409470243,0.011259701492537313,Gluc,Glut
28,M,Gluc_NoN,3,0.9660526441006341,0.017258823529411764,Gluc,NoN
29,M,Gly_Glcn,4,0.9772858209304394,0.00998805970149254,Gly,Glcn
30,M,Gly_Glut,4,0.9649138492457234,0.007740298507462686,Gly,Glut
31,M,Gly_NoN,4,0.9593461965676793,0.006817910447761194,Gly,NoN
32,R,Fum_Glcn,8,0.9809358715066147,0.003261369895119236,Fum,Glcn
33,R,Fum_Glut,8,0.8549211431227514,0.0006369250600574208,Fum,Glut
34,R,Fum_NoN,8,0.9008035713687126,0.0007464815140329291,Fum,NoN
35,R,Gluc_Glcn,8,0.9624410772807921,0.0015501845667076815,Gluc,Glcn
36,R,Gluc_Glut,7,0.8796766273047733,0.0010198734473869228,Gluc,Glut
37,R,Gluc_NoN,6,0.9611656556510776,0.002046860356138707,Gluc,NoN
38,R,Gly_Glcn,6,0.9901327179466817,0.001912652296157451,Gly,Glcn
39,R,Gly_Glut,6,0.9880920294700337,0.00213008434864105,Gly,Glut
40,R,Gly_NoN,6,0.9599080605503315,0.0024706654170571695,Gly,NoN
41,S,Fum_Glcn,8,0.8996808689234779,9.958633620437102e-05,Fum,Glcn
42,S,Fum_Glut,8,0.9838205442885121,0.00011940938653541923,Fum,Glut
43,S,Fum_NoN,8,0.9807399461563765,0.00013452393507939298,Fum,NoN
44,S,Gluc_Glcn,8,0.9681196121998985,0.00019801488252182574,Gluc,Glcn
45,S,Gluc_NoN,8,0.9943975169298619,0.00014146833069666608,Gluc,NoN
46,S,Gly_Glcn,8,0.6129128368544885,7.22095271576727e-05,Gly,Glcn
47,S,Gly_Glut,8,0.940352353885173,0.00010066912755610242,Gly,Glut
