,Aux,Time,R2,Slope,Num_of_points
0,C,24,0.7923377766485488,0.00019418563922942207,4.0
1,C,48,0.8829061019782666,0.0003689189189189189,3.0
2,C,72,0.9749993687240648,0.0006372972972972971,3.0
3,C,96,0.9828712489861132,0.0007659459459459459,3.0
4,C,100,0.9973550939746703,0.0006832882882882883,3.0
5,F,24,0.5192307692307694,0.00042000000000000007,3.0
6,F,48,0.7724791430631373,0.0008421052631578947,3.0
7,F,72,0.8662273891125445,0.0011536842105263157,3.0
8,F,96,0.995301424749528,0.0011852631578947374,3.0
9,F,100,0.9082503975159798,0.0010108771929824563,3.0
10,L,24,0.7754501456941655,0.00040306306306306323,3.0
11,L,48,0.6852755903303722,0.0009159459459459459,3.0
12,L,72,0.7083997687089931,0.0016227027027027026,3.0
13,L,96,0.7878786519249137,0.0022052173913043485,4.0
14,L,100,0.7862036933388432,0.0021885507246376815,4.0
15,M,24,1.0,4.000000000000004e-05,3.0
16,M,48,0.652760513511895,0.00015822485207100606,3.0
17,M,72,0.6799786673359264,0.0003923076923076922,3.0
18,M,96,0.8166571744685388,0.0008275739644970414,3.0
19,M,100,0.8877697076836942,0.0006142603550295859,3.0
20,R,24,0.9299943433068815,0.0008940540540540542,3.0
21,R,48,0.9521171456516901,0.0014194594594594595,3.0
22,R,72,0.9118354197309858,0.0014151351351351352,3.0
23,R,96,0.9932432432432433,0.0014643243243243243,3.0
24,R,100,0.9425515394150081,0.0016856756756756753,3.0
25,S,24,0.927730575761874,0.0001213125,5.0
26,S,48,0.9369997257846066,0.0001596160714285714,5.0
27,S,72,0.9783010918011973,0.00016748214285714286,5.0
28,S,96,0.9994669509594883,0.0001625,3.0
29,S,100,0.9977162712488942,0.00016878907435508348,4.0
