Step,Intermediate (Substrate),Enzyme,EC,Gene,Product,Compound,Other Pathway Connections/Alternatives,aux_availible,shared_enzyme,shared_compound,pathway,step_in_pathway,shared_enzyme_amount,shared_compound_amount,shared_ec_list,shared_ec_count,shared_compound_list,shared_compound_count,
F0,PEP + Erythrose‑4‑phosphate,DAHP Synthase,2.5.1.54,aroF,3‑Deoxy‑D‑arabino‑heptulosonate 7‑phosphate (DAHP),C04691,(Feedback‑inhibited by phenylalanine.),FALSE,"['Y0', 'W0']","['Y0', 'W0']",F,0,2,2,"['R01826', 'R01826', 'R01826', 'R01826']",4,"['R01826', 'R03083', 'R01826', 'R03083', 'R01826', 'R03083', 'R03083', 'R01826']",8,Bs
F1,DAHP,Dehydroquinate Synthase,4.2.3.4,aroB,3‑Dehydroquinate,C00944,–,TRUE,"['Y1', 'W1']","['Y1', 'W1']",F,1,2,2,"['R03083', 'R03083', 'R03083', 'R03083']",4,"['R03083', 'R03084', 'R03083', 'R03084', 'R03083', 'R03084', 'R03084', 'R03083']",8,Bs
F2,3‑Dehydroquinate,Dehydroquinate Dehydratase,4.2.1.10,aroD,3‑Dehydroshikimate,C02637,–,TRUE,"['Y2', 'W2']","['Y2', 'W2']",F,2,2,2,"['R03084', 'R03084', 'R03084', 'R03084']",4,"['R03084', 'R02413', 'R03084', 'R02413', 'R03084', 'R02413', 'R02413', 'R03084', 'R12885']",9,Bs
F3,3‑Dehydroshikimate,Shikimate Dehydrogenase,1.1.1.25,aroE,Shikimate,C00493,–,FALSE,"['Y3', 'W3']","['Y3', 'W3']",F,3,2,2,"['R02413', 'R02413', 'R02413', 'R02413', 'R12885']",5,"['R02413', 'R02412', 'R02412', 'R02413', 'R02413', 'R02412', 'R02412', 'R02413']",8,Bs
F4,Shikimate,Shikimate Kinase,2.7.1.71,aroK,Shikimate‑3‑phosphate,C03175,(AroL is an isoenzyme.),FALSE,"['Y4', 'W4']","['Y4', 'W4']",F,4,2,2,"['R02412', 'R02412', 'R02412', 'R02412']",4,"['R02412', 'R03460', 'R02412', 'R03460', 'R02412', 'R03460', 'R03460', 'R02412']",8,Bs
F5,Shikimate‑3‑phosphate + PEP,EPSP Synthase,2.5.1.19,aroA,5‑Enolpyruvylshikimate‑3‑phosphate (EPSP),C01269,–,TRUE,"['Y5', 'W5']","['Y5', 'W5']",F,5,2,2,"['R03460', 'R03460', 'R03460', 'R03460']",4,"['R03460', 'R01714', 'R03460', 'R01714', 'R03460', 'R01714', 'R01714', 'R03460']",8,Bs
F6,EPSP,Chorismate Synthase,4.2.3.5,aroF,Chorismate,C00251,Chorismate is the branch point for aromatic amino acids.,FALSE,"['Y6', 'W6']","['Y6', 'W6']",F,6,2,2,"['R01714', 'R01714', 'R01714', 'R01714']",4,"['R01714', 'R00985', 'R01715', 'R01717', 'R01714', 'R01715', 'R00985', 'R01717', 'R01714', 'R01715', 'R00985', 'R01717', 'R01714', 'R00985', 'R01715', 'R12939', 'R01717', 'R01717']",18,Bs
F7,Chorismate,Chorismate Mutase,5.4.99.5,aroH,Prephenate,C00254,–,FALSE,['Y7'],['Y7'],F,7,1,1,"['R01715', 'R01715', 'R01715', 'R01715']",4,"['R01715', 'R01373', 'R01728', 'R10934', 'R01715', 'R01373', 'R01728', 'R10934', 'R01715', 'R01728', 'R01373', 'R01715', 'R01373', 'R01728', 'R01728', 'R10934']",16,Bs
F8,Prephenate,Prephenate Dehydratase,4.2.1.51,pheA,Phenylpyruvate,C00166,–,TRUE,[],[],F,8,0,0,"['R01373', 'R00691', 'R01373', 'R00691', 'R01373', 'R01373', 'R00691']",7,"['R01373', 'R00688', 'R01374', 'R01373', 'R00688', 'R01373', 'R00694', 'R00694', 'R01582', 'R01373', 'R00694', 'R00694', 'R01582']",13,Bs
F9,Phenylpyruvate,Aromatic Aminotransferase,2.6.1.57,aroT,L‑Phenylalanine,C00079,Typically uses glutamate as amino donor.,FALSE,['Y9'],[],F,9,1,0,"['R00734', 'R00734', 'R00734', 'R00694', 'R00694', 'R00694', 'R00734', 'R00694', 'R00734', 'R00734', 'R00734']",11,"['R00688', 'R00691', 'R00688', 'R00691', 'R00694', 'R00694', 'R00691', 'R00694', 'R00694', 'R03660']",10,Bs
