Aux,Environment,Num_of_points,R2,Slope,C,N,Species,Exp,aa_per_od
C,Fum_Glcn,8.0,0.722064004682367,0.000549645514736,Fum,Glcn,Bs,1,1819.3544260618767
C,Gluc_Asn,6.0,0.9717226019397602,0.0024386129334582,Gluc,Asn,Bs,1,410.0691775557423
C,Gluc_Glcn,6.0,0.9757369269016484,0.0023407685098406,Gluc,Glcn,Bs,1,427.21012171686186
C,Gluc_Glut,8.0,0.9471145926268512,0.00091753676686,Gluc,Glut,Bs,1,1089.8745817262518
C,Gluc_NoN,6.0,0.9666162697002764,0.0020464854732895,Gluc,NoN,Bs,1,488.6426085363852
C,Gly_Glcn,5.0,0.9762665042191236,0.00492734082397,Gly,Glcn,Bs,1,202.94922468835665
C,Gly_Glut,8.0,0.9448650424667958,0.0007101658170738,Gly,Glut,Bs,1,1408.121844163728
F,Fum_Asn,8.0,0.9356151670833006,0.0004891076346165,Fum,Asn,Bs,1,2044.5397479515548
F,Fum_Glcn,7.0,0.946707719161615,0.0020532927115069,Fum,Glcn,Bs,1,487.0226219553985
F,Gluc_Asn,3.0,0.9924883403826614,0.0125764705882352,Gluc,Asn,Bs,1,79.51356407857871
F,Gluc_Glcn,5.0,0.9341407802029712,0.0046808988764044,Gluc,Glcn,Bs,1,213.63418146903936
F,Gluc_Glut,8.0,0.8490774554827859,0.0008161715591492,Gluc,Glut,Bs,1,1225.2325982081854
F,Gluc_NoN,7.0,0.9314992857393302,0.0018524490274197,Gluc,NoN,Bs,1,539.8259197409134
F,Gly_Asn,8.0,0.9405316261599664,0.0007209702935489,Gly,Asn,Bs,1,1387.0196996295172
F,Gly_Glcn,7.0,0.9003625591577822,0.0015664869932036,Gly,Glcn,Bs,1,638.371084048974
F,Gly_Glut,8.0,0.9734517896380734,0.0005768090466983,Gly,Glut,Bs,1,1733.6759985372594
L,Fum_Asn,8.0,0.8928596306418028,0.000633163414777,Fum,Asn,Bs,1,1579.3711017750445
L,Fum_Glcn,6.0,0.995251670179608,0.0023008434864104,Fum,Glcn,Bs,1,434.62321792262514
L,Fum_Glut,8.0,0.8627635267429521,0.0006126560028124,Fum,Glut,Bs,1,1632.2373328743956
L,Fum_NoN,8.0,0.9756816162445148,0.0005427550243159,Fum,NoN,Bs,1,1842.451852491686
L,Gluc_Asn,6.0,0.9846944705502296,0.002188191190253,Gluc,Asn,Bs,1,456.99845811205347
L,Gluc_Glcn,6.0,0.9981883075750108,0.0023270852858481,Gluc,Glcn,Bs,1,429.722110350396
L,Gluc_Glut,6.0,0.9892501829846752,0.0027615745079662,Gluc,Glut,Bs,1,362.1122649833786
L,Gluc_NoN,7.0,0.9273502212886362,0.0012560581204593,Gluc,NoN,Bs,1,796.1415030972709
L,Gly_Asn,7.0,0.9373632730584142,0.0012359971877197,Gly,Asn,Bs,1,809.0633295411513
L,Gly_Glcn,6.0,0.9899973999810664,0.0026807872539831,Gly,Glcn,Bs,1,373.0247517829716
L,Gly_Glut,5.0,0.9705205193534024,0.0053985018726591,Gly,Glut,Bs,1,185.2365755515497
L,Gly_NoN,8.0,0.8387760296438294,0.0006211284935841,Gly,NoN,Bs,1,1609.9728322391013
M,Fum_Asn,8.0,0.8034519410571118,0.0008236596941465,Fum,Asn,Bs,1,1214.0936446285975
M,Fum_Glcn,4.0,0.9677006862468076,0.0092865671641791,Fum,Glcn,Bs,1,107.68241722918681
M,Fum_Glut,5.0,0.927269019710286,0.0052471910112359,Fum,Glut,Bs,1,190.5781584582461
M,Fum_NoN,8.0,0.8495389098546202,0.0009571219312122,Fum,NoN,Bs,1,1044.7989617513986
M,Gluc_Asn,4.0,0.9934257925228278,0.0142865671641791,Gluc,Asn,Bs,1,69.99582114500629
M,Gluc_Glcn,4.0,0.9962160983495616,0.0133074626865671,Gluc,Glcn,Bs,1,75.14580529385411
M,Gluc_Glut,4.0,0.9991061114647888,0.0098925373134328,Gluc,Glut,Bs,1,101.08630054315063
M,Gluc_NoN,4.0,0.9980431195738488,0.0122985074626865,Gluc,NoN,Bs,1,81.31067961165093
M,Gly_Glcn,4.0,0.99290483238394,0.0098716417910447,Gly,Glcn,Bs,1,101.30027214998566
