locus_tag,gene,glucose_NH4,glucose_glutamine,glucose_glutamate,glucose_ornithine,glucose_adenine,glucose_malate_NH4,glucose_nitrate,malate_NH4,pyruvate_NH4,fructose_NH4,glycerol_NH4,gluconate_NH4,succinate_glutamate,Casette,n_grows_01,rank_01,n_grows_05,rank_05,n_grows_1,rank_1
BSU00730,cysK,0.0,0.0,0.048056861,0.055891233,0.0,0.190796386,0.0,0.187356695,0.0,0.132168985,0.0,0.343595057,0.100418562,Erm,38.46153846153847,15.0,0.0,20.0,0.0,9.0
BSU00930,cysE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Erm,0.0,73.0,0.0,21.0,0.0,10.0
BSU10020,serC,0.0,0.039242001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054296941,0.0,0.185032293,0.0,Erm,7.6923076923076925,48.0,0.0,22.0,0.0,11.0
BSU11190,argC,0.0,0.169431071,0.0,0.794645376,0.0,0.233457401,0.0,0.34272884,0.0,0.143201538,0.0,0.407031955,0.0,Erm,46.15384615384615,9.0,7.6923076923076925,10.0,0.0,12.0
BSU11200,argJ,0.0,0.205268696,0.0,1.183290231,0.156793587,0.290486731,0.0,0.448656449,0.0,0.08651324,0.0,0.484821493,0.0,Erm,46.15384615384615,10.0,7.6923076923076925,11.0,7.6923076923076925,5.0
BSU11210,argB,0.0,0.13366916,0.0,0.840225849,0.0,0.225375156,0.0,0.280436868,0.0,0.062516798,0.0,0.292717823,0.0,Erm,38.46153846153847,16.0,7.6923076923076925,12.0,0.0,13.0
BSU11220,argD,0.14293633,0.39303704,0.42381863,1.129896008,0.289903584,0.328978045,0.0,0.707632036,0.248152923,0.171531263,0.0,0.422473859,0.216422079,Erm,84.61538461538461,2.0,15.384615384615385,9.0,7.6923076923076925,6.0
BSU11250,argF,0.0,0.136372537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265965159,0.0,Erm,15.384615384615385,35.0,0.0,23.0,0.0,14.0
BSU13120,proB,0.213851059,0.171748443,0.202300877,0.938118275,0.498236805,0.250135043,0.170420169,0.507481347,0.378694538,0.225209434,0.0,0.56401439,0.343271458,Erm,92.3076923076923,1.0,23.076923076923077,3.0,0.0,15.0
BSU13180,metE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Erm,0.0,74.0,0.0,24.0,0.0,16.0
BSU17460,glnA,0.0,0.847973451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Erm,7.6923076923076925,49.0,7.6923076923076925,13.0,0.0,17.0
BSU18000,citB,0.0,1.231407727,1.115250851,1.222969274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278114969,0.240617687,Erm,38.46153846153847,17.0,23.076923076923077,4.0,23.076923076923077,1.0
BSU18450,gltA,0.0,0.693431088,1.139064824,1.065183849,0.0,0.0,0.0,0.266793378,0.0,0.0,0.0,0.26664482,0.992855467,Erm,46.15384615384615,11.0,30.76923076923077,1.0,15.384615384615385,3.0
BSU21770,ilvA,0.0,0.044693382,0.0,0.031143627,0.174420681,0.0,0.0,0.234290156,0.216871406,0.092054514,0.0,0.168599726,0.046606401,Erm,30.76923076923077,22.0,0.0,25.0,0.0,18.0
BSU21870,ilvD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054623667,0.0,0.20454187,0.0,Erm,7.6923076923076925,50.0,0.0,26.0,0.0,19.0
