fold,block,rmse_increase,n_test
1,Auxotroph type,0.01486287540043944,66
1,Prototroph growth,0.008223912672870913,66
1,Environment,0.005861588258656789,66
1,Species,0.0190518467970889,66
1,AA requirements,0.004298983023932114,66
2,Auxotroph type,0.01867768426666841,90
2,Prototroph growth,0.008384049013942343,90
2,Environment,0.0115875578508265,90
2,Species,0.011649920523893575,90
2,AA requirements,0.0035071592660936854,90
3,Auxotroph type,0.007745209267640868,90
3,Prototroph growth,-0.0004906240309329839,90
3,Environment,0.0026850762439061884,90
3,Species,0.011174150814559644,90
3,AA requirements,0.000230763627035235,90
4,Auxotroph type,0.005774877396933631,91
4,Prototroph growth,-0.001267563654759711,91
4,Environment,0.0048952301704223555,91
4,Species,0.0,91
4,AA requirements,-0.0007015791955958868,91
5,Auxotroph type,0.010768961064046515,90
5,Prototroph growth,0.002683443414483573,90
5,Environment,0.0012426337254978527,90
5,Species,0.010158812926128847,90
5,AA requirements,0.002981717453463139,90
6,Auxotroph type,0.017171489475023772,80
6,Prototroph growth,0.004423026786233681,80
6,Environment,0.01258209660393533,80
6,Species,0.014763722137455745,80
6,AA requirements,0.0013945115748255383,80
7,Auxotroph type,0.011624156839296542,57
7,Prototroph growth,0.0036668920664461673,57
7,Environment,0.007945566081314602,57
7,Species,0.009573867745474016,57
7,AA requirements,0.002983147067196739,57
8,Auxotroph type,0.015268552375649993,75
8,Prototroph growth,0.012567142860195066,75
8,Environment,0.008570937319205536,75
8,Species,0.009478114484107684,75
8,AA requirements,0.0017024543421824772,75
9,Auxotroph type,0.009444626582226525,85
9,Prototroph growth,0.0039442318403832485,85
9,Environment,0.01015307663830484,85
9,Species,0.006167694326740096,85
9,AA requirements,-0.0004782876350282551,85
10,Auxotroph type,0.004188607452222647,67
10,Prototroph growth,0.0003987694067130506,67
10,Environment,0.002032848461863942,67
10,Species,0.005263014458736809,67
10,AA requirements,0.002008611377545418,67
11,Auxotroph type,0.008033389634997435,95
11,Prototroph growth,0.0012048535749886783,95
11,Environment,0.008391482780241181,95
11,Species,0.00926771670855067,95
11,AA requirements,0.0013545690173961422,95
12,Auxotroph type,0.011757599296405918,86
12,Prototroph growth,0.007811445603937042,86
12,Environment,0.009478879905724085,86
12,Species,0.009562360005272346,86
12,AA requirements,0.0035484860324916287,86
13,Auxotroph type,0.0007485944455732141,96
13,Prototroph growth,-0.0022457987571747346,96
13,Environment,0.0015145612508310623,96
13,Species,0.002688675577119002,96
13,AA requirements,-0.0014472659442909424,96
14,Auxotroph type,0.01539253828871399,95
14,Prototroph growth,0.007180576266547037,95
14,Environment,0.010120615769114466,95
14,Species,0.0052613420877916485,95
14,AA requirements,0.0024505882270545684,95
15,Auxotroph type,0.011725305420771742,80
15,Prototroph growth,0.010451451277105405,80
15,Environment,0.008650151251614441,80
15,Species,0.015039798931303933,80
15,AA requirements,0.002131629903832053,80
16,Auxotroph type,0.013122997052274177,75
16,Prototroph growth,0.0015865631813664187,75
16,Environment,0.003901296881008494,75
16,Species,0.016805554858354808,75
16,AA requirements,0.0030901726525773064,75
17,Auxotroph type,0.02076466339958686,66
17,Prototroph growth,0.01715193235284544,66
17,Environment,0.011765305872265324,66
17,Species,0.005770638218553232,66
17,AA requirements,0.0030786547552752027,66
18,Auxotroph type,0.006574545632277574,57
18,Prototroph growth,0.007438927660606479,57
18,Environment,0.005997290834221435,57
18,Species,0.00880387351768256,57
18,AA requirements,0.002895555423003901,57
19,Auxotroph type,0.011047154119364164,61
19,Prototroph growth,0.000561815469935787,61
19,Environment,0.0009563474585960179,61
19,Species,0.014526903719580084,61
19,AA requirements,0.0021609156193117826,61
20,Auxotroph type,0.015289740316406624,80
20,Prototroph growth,0.0007124783575700726,80
20,Environment,0.0040208116838351664,80
20,Species,0.015512239125908494,80
20,AA requirements,0.0011902379646314847,80
21,Auxotroph type,0.015938411218429344,81
21,Prototroph growth,0.006603935095772766,81
21,Environment,0.007988843361732487,81
21,Species,0.01288618575623975,81
21,AA requirements,0.004175790184296312,81
22,Auxotroph type,0.009209157529402715,71
22,Prototroph growth,0.00062519934094817,71
22,Environment,0.006209502065082681,71
22,Species,0.014163822498070966,71
22,AA requirements,0.0015749094118823013,71
23,Auxotroph type,0.00749850922809851,95
23,Prototroph growth,0.003907092575474928,95
23,Environment,0.003970568892012301,95
23,Species,0.007415200382395038,95
23,AA requirements,0.002448465742382386,95
24,Auxotroph type,0.018534903789934356,95
24,Prototroph growth,0.00904268879072016,95
24,Environment,0.011295839970873939,95
24,Species,0.0028704129950313582,95
24,AA requirements,0.0008410654070161044,95
25,Auxotroph type,0.009962742746236989,71
25,Prototroph growth,-0.0005232119819934891,71
25,Environment,0.0005987661947785764,71
25,Species,0.0068942439438793145,71
25,AA requirements,0.003789617634170446,71
26,Auxotroph type,0.009202258745014019,90
26,Prototroph growth,0.004972124801790659,90
26,Environment,0.006061686246313874,90
26,Species,0.0,90
26,AA requirements,0.0005043182066918513,90
27,Auxotroph type,0.015595549717008314,71
27,Prototroph growth,0.01109095611982135,71
27,Environment,0.01327346613834982,71
27,Species,0.025365742462853648,71
27,AA requirements,0.0023775630805152486,71
28,Auxotroph type,0.0028201030357373445,76
28,Prototroph growth,0.0008549493351844549,76
28,Environment,0.001960833729438148,76
28,Species,0.0029257135722256843,76
28,AA requirements,-6.451553240449277e-05,76
29,Auxotroph type,0.008486436130418856,75
29,Prototroph growth,0.002221842029797712,75
29,Environment,0.00012917952962409538,75
29,Species,0.01421862346399196,75
29,AA requirements,-0.00018018170748073867,75
30,Auxotroph type,0.011961841170955775,66
30,Prototroph growth,0.0008685772756942694,66
30,Environment,0.011746376410694797,66
30,Species,0.009336537065114978,66
30,AA requirements,0.0034166097885644773,66
31,Auxotroph type,0.010059220394723515,85
31,Prototroph growth,0.0007043424167006172,85
31,Environment,0.008527429701715225,85
31,Species,0.0037696997694525794,85
31,AA requirements,0.00253964103925318,85
32,Auxotroph type,0.0005176521122988266,100
32,Prototroph growth,-0.0006783421675056352,100
32,Environment,0.002635195688495327,100
32,Species,0.0019510652213278455,100
32,AA requirements,-0.001706111833312059,100
33,Auxotroph type,0.007433199813545785,77
33,Prototroph growth,0.0065442877556309035,77
33,Environment,0.010022798321691452,77
33,Species,0.014130196948513755,77
33,AA requirements,6.661397767846467e-05,77
34,Auxotroph type,0.008074897194968353,91
34,Prototroph growth,0.002021728071949027,91
34,Environment,0.004712371703669906,91
34,Species,0.0049897632815135646,91
34,AA requirements,0.0004444987317283065,91
35,Auxotroph type,0.012839945494280627,80
35,Prototroph growth,0.006593098144913731,80
35,Environment,0.009578190811857314,80
35,Species,0.015003063992846117,80
35,AA requirements,0.0029849349203674262,80
36,Auxotroph type,0.0118529915392187,76
36,Prototroph growth,0.0008334226164923401,76
36,Environment,0.005353809782571198,76
36,Species,0.009062316418328786,76
36,AA requirements,0.00046640155322693266,76
37,Auxotroph type,0.015297498228575263,76
37,Prototroph growth,0.0026524326220781574,76
37,Environment,0.006143167934436393,76
37,Species,0.01281406553161941,76
37,AA requirements,0.004016393199123227,76
38,Auxotroph type,0.013117090208159928,60
38,Prototroph growth,0.002541691201088347,60
38,Environment,0.006772581539035606,60
38,Species,0.01716893692555563,60
38,AA requirements,0.0032329173745696328,60
39,Auxotroph type,0.020297570302838224,70
39,Prototroph growth,0.01587437019686397,70
39,Environment,0.01118333894366283,70
39,Species,0.013213939051463664,70
39,AA requirements,0.003379412773800633,70
40,Auxotroph type,0.014489358955934784,76
40,Prototroph growth,-0.0022187385054411595,76
40,Environment,0.004368274369416348,76
40,Species,0.011994179073012614,76
40,AA requirements,0.0031187083707267783,76
41,Auxotroph type,0.011066279304527308,90
41,Prototroph growth,0.002460511652996861,90
41,Environment,0.004601374751499014,90
41,Species,0.008194651322373948,90
41,AA requirements,0.0018809244691338546,90
42,Auxotroph type,0.003995534254213493,95
42,Prototroph growth,0.008323939203021302,95
42,Environment,0.011324477201900976,95
42,Species,0.009681003692924062,95
42,AA requirements,-0.0003632429765651552,95
43,Auxotroph type,0.02225430778869784,68
43,Prototroph growth,0.008941730023469376,68
43,Environment,0.00668509472708328,68
43,Species,0.019293439317175348,68
43,AA requirements,0.004969151620332746,68
44,Auxotroph type,0.01299853365408754,95
44,Prototroph growth,0.00921290167184521,95
44,Environment,0.009755474923899336,95
44,Species,0.015168160593986787,95
44,AA requirements,0.004268210910862811,95
45,Auxotroph type,0.01585869099049895,80
45,Prototroph growth,0.009811096201476962,80
45,Environment,0.011708247353977295,80
45,Species,0.018597294532543975,80
45,AA requirements,0.0027889408786074084,80
46,Auxotroph type,0.010283063739093346,66
46,Prototroph growth,0.001058088450663033,66
46,Environment,0.004510254243431526,66
46,Species,0.008338838992324935,66
46,AA requirements,0.0005615548912403026,66
47,Auxotroph type,0.006287270962707042,80
47,Prototroph growth,-5.476261169271544e-05,80
47,Environment,0.0005261005052697883,80
47,Species,0.001666437771221147,80
47,AA requirements,0.0005739762488128017,80
48,Auxotroph type,0.010944055954914824,71
48,Prototroph growth,0.004815573838642074,71
48,Environment,0.01360937289153615,71
48,Species,0.014849245529837093,71
48,AA requirements,0.0015232742608916315,71
49,Auxotroph type,0.013949227649126136,75
49,Prototroph growth,0.007308441151157469,75
49,Environment,0.007078504463288364,75
49,Species,0.007172484476646594,75
49,AA requirements,0.003123317356477094,75
50,Auxotroph type,0.008659991508951267,71
50,Prototroph growth,-0.00012568942496387833,71
50,Environment,0.0054587544132953195,71
50,Species,0.0066000548750475745,71
50,AA requirements,0.0011509759934693743,71
