fold,block,repeat,rmse_increase,base_rmse,rmse_perm,n_test
1,Auxotroph type,0,0.017300181495884637,0.04331916475693776,0.0606193462528224,66
1,Auxotroph type,1,0.022400377459495115,0.04331916475693776,0.06571954221643288,66
1,Auxotroph type,2,0.01503798219879006,0.04331916475693776,0.05835714695572782,66
1,Auxotroph type,3,0.011626243816438744,0.04331916475693776,0.05494540857337651,66
1,Auxotroph type,4,0.010742896198468098,0.04331916475693776,0.05406206095540586,66
1,Auxotroph type,5,0.017362162959377002,0.04331916475693776,0.060681327716314765,66
1,Auxotroph type,6,0.01842890968924487,0.04331916475693776,0.06174807444618263,66
1,Auxotroph type,7,0.011368008731348571,0.04331916475693776,0.054687173488286334,66
1,Auxotroph type,8,0.014410840465848195,0.04331916475693776,0.05773000522278596,66
1,Auxotroph type,9,0.009951150989499107,0.04331916475693776,0.05327031574643687,66
1,Prototroph growth,0,0.0030927059340253096,0.04331916475693776,0.04641187069096307,66
1,Prototroph growth,1,0.0052559458302183434,0.04331916475693776,0.048575110587156106,66
1,Prototroph growth,2,0.01028153970563004,0.04331916475693776,0.0536007044625678,66
1,Prototroph growth,3,0.010911488857618439,0.04331916475693776,0.0542306536145562,66
1,Prototroph growth,4,0.0133704418135124,0.04331916475693776,0.05668960657045016,66
1,Prototroph growth,5,0.0077678156643192844,0.04331916475693776,0.05108698042125705,66
1,Prototroph growth,6,0.010235660890398075,0.04331916475693776,0.05355482564733584,66
1,Prototroph growth,7,0.0033944873771180606,0.04331916475693776,0.04671365213405582,66
1,Prototroph growth,8,0.00792688165382354,0.04331916475693776,0.0512460464107613,66
1,Prototroph growth,9,0.010002159002045638,0.04331916475693776,0.0533213237589834,66
1,Environment,0,0.004895325578866176,0.04331916475693776,0.04821449033580394,66
1,Environment,1,0.010233386257330002,0.04331916475693776,0.053552551014267764,66
1,Environment,2,0.0061523995602868475,0.04331916475693776,0.04947156431722461,66
1,Environment,3,0.0071268259617139895,0.04331916475693776,0.05044599071865175,66
1,Environment,4,0.0019575103784899225,0.04331916475693776,0.045276675135427685,66
1,Environment,5,0.008893262282707995,0.04331916475693776,0.05221242703964576,66
1,Environment,6,0.0024879429030868275,0.04331916475693776,0.04580710766002459,66
1,Environment,7,0.00751921458776568,0.04331916475693776,0.05083837934470344,66
1,Environment,8,0.004808739625529954,0.04331916475693776,0.048127904382467716,66
1,Environment,9,0.004541275450790493,0.04331916475693776,0.047860440207728255,66
1,Species,0,0.0168985986545106,0.04331916475693776,0.06021776341144836,66
1,Species,1,0.02331886960638834,0.04331916475693776,0.0666380343633261,66
1,Species,2,0.02209387657977844,0.04331916475693776,0.0654130413367162,66
1,Species,3,0.017013933331774367,0.04331916475693776,0.06033309808871213,66
1,Species,4,0.022876145934339544,0.04331916475693776,0.0661953106912773,66
1,Species,5,0.01793344185904311,0.04331916475693776,0.06125260661598087,66
1,Species,6,0.013576146550024648,0.04331916475693776,0.05689531130696241,66
1,Species,7,0.02212371829697029,0.04331916475693776,0.06544288305390805,66
1,Species,8,0.01585456469434207,0.04331916475693776,0.059173729451279834,66
1,Species,9,0.018829172463717583,0.04331916475693776,0.062148337220655346,66
1,AA requirements,0,0.004351093846285167,0.04331916475693776,0.04767025860322293,66
1,AA requirements,1,0.0042557209252490555,0.04331916475693776,0.04757488568218682,66
1,AA requirements,2,0.00424187985598061,0.04331916475693776,0.04756104461291837,66
1,AA requirements,3,0.0052078534846008925,0.04331916475693776,0.048527018241538655,66
1,AA requirements,4,0.004573927135713023,0.04331916475693776,0.047893091892650785,66
1,AA requirements,5,0.002541630957062453,0.04331916475693776,0.045860795714000216,66
1,AA requirements,6,0.0054667386018819875,0.04331916475693776,0.04878590335881975,66
1,AA requirements,7,0.0035161606584700952,0.04331916475693776,0.04683532541540786,66
1,AA requirements,8,0.0041071278507741615,0.04331916475693776,0.047426292607711924,66
1,AA requirements,9,0.004727696923303694,0.04331916475693776,0.04804686168024146,66
2,Auxotroph type,0,0.018300171281673175,0.03767569791551087,0.055975869197184044,90
2,Auxotroph type,1,0.022169724775045127,0.03767569791551087,0.059845422690556,90
2,Auxotroph type,2,0.017868860401890875,0.03767569791551087,0.055544558317401745,90
2,Auxotroph type,3,0.013613538772864038,0.03767569791551087,0.05128923668837491,90
2,Auxotroph type,4,0.020503384983729826,0.03767569791551087,0.058179082899240696,90
2,Auxotroph type,5,0.020432571893976487,0.03767569791551087,0.058108269809487356,90
2,Auxotroph type,6,0.018856245992949,0.03767569791551087,0.05653194390845987,90
2,Auxotroph type,7,0.017996200275390402,0.03767569791551087,0.05567189819090127,90
2,Auxotroph type,8,0.01572376115125375,0.03767569791551087,0.05339945906676462,90
2,Auxotroph type,9,0.021312383137911464,0.03767569791551087,0.058988081053422334,90
2,Prototroph growth,0,0.009151783635017716,0.03767569791551087,0.046827481550528585,90
