feature,importance_mean,importance_std
Species,0.011623391795745518,0.005578008950482014
C,0.006682638366899181,0.003825426063649375
Aux_R,0.005620167873569129,0.0026504410226053554
WT_mean,0.004935832277885716,0.004068875785120073
Aux_C,0.003107922359635318,0.0012013550793861661
N,0.0029822903711047427,0.002768606936157509
pair_aa_requirement,0.002146005469471261,0.0017999826740083078
Aux_F,0.0012317117102116598,0.0013008928790281757
Aux_M,0.0011780900972732952,0.0009801151777037002
Aux_S,0.0005950024460615052,0.000498508127817871
Aux_L,0.00041550460083299666,0.00044851221494788683
