B-numbers,gene,Galactose,L-alanine,D-alanine,Mannose,Glucosamine,Thymidine,Adenosine,Saccharate,Acetate,α-ketoglutarate,Malate,Succinate,Fumarate,Ribose,Fucose,Glycerol,Lactate,Oxaloacetate,Pyruvate,Galacturonate,Maltose,Fructose,Trehalose,Mannitol,Sorbitol,Glucuronate,Gluconate,Xylose,Glucose,N-acetyl Glucosamine,n_grows_01,rank_01,n_grows_05,rank_05,n_grows_1,rank_1
b0688,pgm,0.37374145934484115,0.12785614298037046,0.11065115954225821,0.8825390519113985,0.6248498980614912,0.37642374406054163,0.8702049351104651,0.49312695235425735,0.4617479816589273,0.073902076180207,0.5687175755135121,0.4155921780347058,0.564806981885824,0.4868447223616383,0.527638171690407,0.4636542753368205,0.9464413464531916,0.5843942064452532,0.658927097026998,0.49730419985558777,0.7287731665856484,0.7200987341349777,0.44709832161834034,0.8991705560121227,0.48968337189244077,0.4161637522398328,0.5540370534988297,0.5573956908803273,0.3770012898262086,0.643848906371186,96.66666666666667,1.0,50.0,2.0,0.0,2.0
b1136,icd,0.0,0.005510477887928852,0.0,0.0034608769540414933,0.0,0.035782630025026935,0.004473304802997175,0.007514206074833653,0.007479744293594294,0.8818185779599697,0.013177612447355769,0.01524284116376902,0.0022128027247526956,0.254515680601774,0.055219615891975125,0.0021294578276301185,0.018939527708623234,0.004810887224303211,0.0996221669640345,0.023147782952677515,0.0028506117109919553,0.0008706463822273918,0.037658206224272135,0.015401563216247032,0.020716378560044806,0.004464843617442267,9.582771138023222e-05,0.0017837934313785124,0.005013220419124818,0.00399206854053232,6.666666666666667,22.0,3.3333333333333335,4.0,0.0,3.0
b2023,hisH,0.0024371035822257814,0.20366438213105545,0.016121316136089123,0.8321569195040328,0.0018216762169994156,0.09438088674685445,0.2611738912625838,0.09183336420892138,0.05693775396847594,0.8584458354532629,0.005091184509272802,0.020843679049002122,0.04260436102191918,0.3003322351024498,0.06993161845800594,0.0020828017064315847,0.015050964074957478,0.248470631583793,0.14266550816590645,0.021926045666012323,0.011788603647982907,0.002734384863307942,0.0524298333920907,0.024841329526692203,0.00813067779582715,0.00031006480479937057,0.008354590043250194,0.005127289701518972,0.005272171427510536,0.05127234116613402,23.333333333333332,10.0,6.666666666666667,3.0,0.0,4.0
b0720,gltA,0.07581395229868075,0.09570146436994358,0.03902597018088462,0.0040080403986556025,0.003794691283008437,0.058979750028720426,0.018681395097951886,0.015607860502808268,0.005901476034013693,0.16064632225014458,0.03656113396575329,0.05631637515524459,0.040293940160187294,0.2814999857587201,0.0999252839243578,0.028664022045214635,0.05373022690905574,0.048369998322048836,0.2211460317024649,0.00984242840335819,0.022081674032536133,0.009833092288039136,0.03507141207481219,0.03978017327855833,0.014411762617729609,0.00945756516975481,0.009497957227864678,0.01739013334324178,0.020127215506987168,0.013962459535202422,10.0,13.0,0.0,8.0,0.0,5.0
b3958,argC,0.003496421609167758,0.02324555714349077,0.014485587815427421,0.0012636100511722456,0.002775545742386383,0.0036025073651614944,0.0068045385844979055,0.011539786929412321,0.003658354923721688,0.008198773756658366,0.008684029326683863,0.005257322783506089,0.00517918629275111,0.2907043090651926,0.08172030555740632,0.0,0.01764001453954077,0.014409487772215793,0.1770386565458051,0.014682149153321718,0.0015858868403018376,0.0,0.01300329397919335,0.02166910051362687,0.01592174795283445,0.0103627973448187,0.003688403980424003,0.007260023307966267,0.003214757878244094,0.0,6.666666666666667,23.0,0.0,9.0,0.0,6.0
b3172,argG,0.00360896070154436,0.0003193047104642116,0.003927790531327933,0.002241440011415324,0.001796765816639567,0.02322522884779404,0.002170156026801569,0.00991354001361322,0.006216234036598794,0.0025552223434277513,0.00012952230473152335,0.009280208369270097,0.004960677876208057,0.36033612381438307,0.08632233839328692,0.0012955589924756642,0.009615028171155157,0.004209517284021383,0.18112949096716532,0.01251820307902777,0.006375599287887993,0.0076034063741802745,0.027370327139343818,0.010868617548623078,0.0,0.0,0.0032448006361537923,0.017782357590305112,0.0,0.013966527129448654,6.666666666666667,24.0,0.0,10.0,0.0,7.0
b3960,argH,0.030144283061413164,0.021544405950286925,0.02549171458397491,0.004803349558056613,0.02781675327754283,0.019254531490730968,0.03794293616518777,0.017529341432807075,0.02557458357339181,0.011599327154102964,0.027160705554648598,0.0,0.058842508114940316,0.3618934756612898,0.00829958093409432,0.005592498119121934,0.030841189836670977,0.0,0.002061825882366898,0.037044434116775604,0.009843757554964595,0.07454922545577658,0.007420148381400202,0.0031106445687131535,0.005313022664760861,0.00495439128339514,0.16199091322061604,0.006478145072139925,0.0,0.15913369974608568,10.0,14.0,0.0,11.0,0.0,8.0
b4013,metA,0.03862650585204214,0.015162121409178513,0.02085330865108395,0.0003185125168900333,0.014106602426658418,0.05743756572974019,0.047534483764365025,0.020541562323094734,0.03258396865972997,0.009201307337801497,0.035847436495223844,0.00025525808929786117,0.0430477437278097,0.30992865756174154,0.009366633699270372,0.0,0.0315522337202537,0.002473075342719532,0.004075626461982921,0.05713952254138076,0.008427694120626324,0.08478377265021005,0.00934978576877095,0.007873247334175952,0.0,0.0013571431129812917,0.15623639243609966,0.015257349836468332,0.00689156990466288,0.16604574550149995,10.0,15.0,0.0,12.0,0.0,9.0
b3829,metE,0.04651420991261979,0.005118405622844363,0.06421254664514343,0.012163870969630876,0.018698458727774387,0.04334771469590908,0.03748195601234915,0.02740650063898255,0.011812078047900595,0.017754826965884377,0.05792363621486214,0.0004057208630145144,0.08264777108283843,0.18535996297257365,0.002742216341129397,0.0039050699773458507,0.0683557086128678,0.020396729870971644,0.016148477056693936,0.0430894446502687,0.00992808853516217,0.08490388435915176,0.019124589463427797,0.006349907431764933,0.003608312346725021,0.0,0.13815536110079576,0.02650175720917013,0.0067240735477510525,0.14335122851306234,10.0,16.0,0.0,13.0,0.0,10.0
b3770,ilvE,0.025788092006457125,0.01071839084871752,0.01569381741520762,0.005117945584709887,0.015866407424852902,0.053985042551751926,0.050022391990529,0.01383948571570491,0.01185078620401848,0.03271031145857145,0.021780445849173647,0.0017754303575577045,0.039609746432238496,0.24839927042648632,0.004795700767330828,0.0036155757323098397,0.03360692071672025,0.0,0.005327483634180263,0.014172372510390248,0.002695573794214488,0.06438013236831089,0.004021453639638886,0.0,0.0035287667387826067,0.00021165762437347485,0.13577139868827995,0.007545530586956021,0.0024274411061371644,0.12923231091824675,10.0,17.0,0.0,14.0,0.0,11.0
