locusId,sysName,gene,desc,"D,L-Lactate (C)",D-Alanine (N),D-Fructose (C),D-Galactose (C),D-Galacturonic Acid (C),D-Galacturonic Acid (C) M9,D-Galacturonic Acid (C) MOPS,D-Gluconic Acid (C),D-Glucosamine Hydrochloride (C),D-Glucose (C),D-Glucose (C) M9,D-Glucose (C) MOPS,D-Glucose-6-Phosphate (C),D-Glucuronic Acid (C),D-Lactate (C),D-Maltose (C),D-Mannitol (C),D-Mannose (C),D-Ribose (C),D-Serine (C),D-Serine (N),D-Sorbitol (C),D-Trehalose (C),D-Xylose (C),Fumarate (C),Gly-DL-Asp (N),Gly-Glu (N),Glycerol (C),Glycine (N),Glycolic Acid (C),L-Alanine (N),L-Arginine (N),L-Asparagine (N),L-Aspartic Acid (N),L-Fucose (C),L-Glutamine (N),L-Malic (C),L-Serine (N),LB,NAG (C),Putrescine (N),Sucrose (C),a-Ketoglutaric (C),acetate (C),casaminos (C),casaminos (N),pyruvate (C),succinate (C)
14147,b0002,thrA,bifunctional aspartokinase I/homeserine dehydrogenase I (NCBI),-3.63233154919293,-4.79898786544138,-4.16709422233229,-4.356776972436745,-4.18480357627913,-4.08811815754903,-4.6647311563584,-3.697068017884165,-4.7909571727999545,-3.574803260002095,-3.42132672392075,-4.618172492510125,-5.23295534215953,-3.68105001774018,-4.814710527679814,-3.8914162539770754,-5.67658088956841,-4.6321589008133195,-3.593792396403825,-2.2036465072856997,-3.14884492269992,-3.9676964503714047,-4.26048042678228,-4.08984286159783,-2.11504941776936,-5.716902685875095,-3.295562718941585,-3.914982302437615,-3.6893937369053953,-2.00163489594069,-3.4594550952070247,-1.113185519662685,-4.9066590332591105,-4.400426026719635,-3.62411463711724,-3.3511561878179448,-4.09653767433044,-4.006976815739165,0.0297683671806274,-4.080351900433155,-4.63088238733987,-4.15392226734111,-4.431928142009886,-3.535212639665925,-0.06662716043348504,-0.04031413698450335,-3.5873009140168604,-3.8530885949679403
14148,b0003,thrB,homoserine kinase (NCBI),-3.676618686401905,-4.14005226131989,-3.515056653019655,-3.736225043357945,-4.358093600387445,-4.12487773727436,-3.45819641796066,-3.31092197072368,-4.20267158059641,-3.25115713855361,-3.52656835393114,-3.695951216988965,-3.916943480840855,-4.158618263853955,-4.391521862401465,-3.68685958028278,-4.62962305209221,-4.43653475459076,-4.391629053560266,-3.2582207333423554,-3.883824647551365,-3.909305926545195,-4.043527115773755,-4.50697430136014,-2.73664149216856,-4.577291462875925,-4.0866635390538395,-3.0853435937454403,-4.020063286906355,-3.62902996190707,-2.9434047831623,-3.2804940991141347,-4.330314120884705,-3.92837288152024,-3.5315395371468297,-3.393593346207595,-4.773640341143976,-4.03171229895105,-0.438689571588999,-3.408314881863505,-4.810222904152781,-3.743759671365575,-5.15327103943422,-3.78527531357255,-0.0317252652973105,-0.1484001162883835,-3.0982073852991903,-4.5787997666313
14149,b0004,thrC,threonine synthase (NCBI),-5.08216459219289,-5.73114079588306,-5.19584109206534,-5.0705672681591505,-6.0025219209942104,-4.67102951591119,-5.133684697756079,-4.82528071273677,-5.808438448857865,-5.221451047621805,-4.16768622581835,-5.763182756623655,-6.152397451726255,-5.436025117399845,-5.583100922096235,-5.11125889409432,-5.905866094840105,-5.871836072966795,-3.92262006432769,-4.30076380755891,-4.775213195188635,-5.50484634155721,-5.55669013076531,-5.01306544915714,-3.12869471341637,-6.08320486839685,-4.300589568767265,-3.224906356612875,-5.574349275926149,-4.48125454912109,-4.708520509991574,-3.8528279885712102,-5.0949509224328295,-5.0793329168387995,-5.33162651381385,-5.860748236523735,-5.388850680084,-4.077855572922495,-0.180853419193989,-5.034649897014354,-4.547022082196455,-5.263369866219655,-5.36608515050901,-4.788762889438646,-0.10219439701566795,-0.1947157858423135,-4.4347460142306705,-5.146130481957995
14217,b0071,leuD,isopropylmalate isomerase small subunit (NCBI),-5.103617983936809,-5.5615672182044396,-5.26942330853586,-5.552081084044225,-5.828188746369349,-4.38842784135302,0.014894075355995599,-5.47958402368128,-5.709990944232315,-5.274420305152665,-4.43678260732196,0.12018772467285649,-5.6870432422109,-6.00420193493493,-5.458047134973835,-5.08403408366246,-5.523362020479855,-5.465670745220725,-5.078417171977614,-3.69489155419936,-5.10200831165161,-5.18799870471835,-5.32586211151434,-5.3782038645262205,-2.30164569480554,-5.0497439719971755,-3.419771089951235,-4.2266188221275645,-3.00526209100788,-3.92775198996096,-4.62578556058229,-1.3621396992656098,-5.155910552615895,-5.51508765045376,-4.760925289682399,-5.1280015838242505,-4.9888269018022395,-4.20169600734899,-0.0687623357988315,-5.021725550831805,-4.93607980067621,-5.78459785114877,-5.23167288463822,-5.030886937405115,0.11146728941201917,0.047528889691662954,-4.11910223139781,-4.797916345228115
14218,b0072,leuC,isopropylmalate isomerase large subunit (NCBI),-5.011900973793955,-5.295281802308675,-5.03269904639949,-4.9762752642536245,-6.020255462807285,-4.83139546142531,0.045037323610296554,-5.70092803663742,-5.188961123833705,-4.89419696311521,-4.39901011932118,0.08987253622081334,-6.642189318359045,-5.726900963992055,-5.486622620198165,-4.96071383917238,-5.8210522283342545,-5.464731478512675,-4.90529976035592,-3.6845767594824697,-5.211113130002746,-5.09446427672083,-5.13696616060138,-5.38333912733615,-2.32866704080907,-5.005655786926235,-3.116565657746815,-4.244076946625215,-2.729650092210955,-3.965302060525035,-3.82607251382234,-1.8833674428387601,-5.921762816343315,-5.36546032585594,-5.30909017024975,-5.389968770438025,-4.689694216154384,-3.649389431458875,-0.199902929691334,-4.64046030936049,-4.546056859753705,-5.43287272342686,-5.254074328408015,-5.0243631030044344,0.00102341014329365,-0.008383589630069549,-3.6057726663265797,-5.11160128911461
14219,b0073,leuB,3-isopropylmalate dehydrogenase (VIMSS),-5.28374999808573,-5.58785568043212,-5.11944564053237,-5.097083409790285,-6.0922529189669845,-5.2051050962981,-0.02915536655579685,-5.6345550385875605,-5.44601685402665,-5.09643834320809,-3.96555365408281,-0.09730474507638825,-6.286761171981615,-6.159241305638355,-5.402717587895156,-5.591156284156855,-6.245307241697844,-5.62695022735474,-5.550937263115375,-4.11490053377904,-4.860176469616745,-5.5951573660189755,-5.0709679272922354,-5.419470401979325,-2.62493220541569,-5.4274423186350695,-3.4909890476752947,-4.13295884321688,-2.829493702957045,-3.7127603762896353,-4.12174601055999,-1.7100942930769452,-5.85131166793891,-5.613157185790425,-4.65727223401098,-5.673065223538934,-5.144763375051374,-3.93124690730291,0.0576051572981527,-4.618481022258695,-4.519365439351245,-5.679878954414921,-5.0577772693224095,-5.3602303123345205,-0.086956791757992,-0.04083560936916545,-4.11488024707651,-4.4086646855712
14220,b0074,leuA,2-isopropylmalate synthase (NCBI),-4.86110093371258,-5.03868974497514,-4.47574176187228,-5.602497158547355,-5.57555470829433,-5.02427035430113,0.07484119891069285,-5.8047820216552495,-5.476010618939285,-4.36855795060423,-4.52116622547971,0.1324804969305375,-5.845497757171264,-5.185674130054766,-5.405330002069515,-4.900367188841475,-5.887512636476725,-4.833203666284071,-4.928987274146695,-2.9278495279993,-5.16067883676184,-4.871121417898565,-5.4656206127755205,-4.873336340573875,-2.12691821019175,-4.745665813597075,-3.096504090806655,-3.9776436597852447,-2.949496187773835,-4.42178526862727,-3.905137496948275,-1.9100972249713748,-5.074525058694951,-4.868783752696105,-4.568703779574435,-5.070469201814315,-4.810562987218789,-2.99788912488217,-0.184442208321364,-4.5575933931539705,-3.5364599257343654,-4.81709817297845,-5.0725323296731855,-5.068550695695075,0.036468814066703645,0.031758621665326205,-3.79215648322797,-4.75404839737894
14264,b0118,acnB,aconitate hydratase (NCBI),-3.4418495631287946,-3.51826435538503,-3.563851351189375,-3.324044337007175,-3.43960012062162,-2.48410810210101,-2.63724708614206,-3.4354270388165347,-3.6516642699898147,-3.1828813223920402,-2.16879023715502,-2.84553833041803,-3.6459993629033702,-2.49857838786652,-3.267035166708105,-3.47538927818103,-3.2648257602031547,-3.606442666853715,-3.4490624250765,-2.8515642950707196,-3.0605974379017,-3.4610199628634897,-3.6536422856884654,-3.54220917086361,-0.510057514701761,-3.47421626107873,-3.16339774314647,-2.90248723651902,-2.97761943869126,-1.9091527447218852,-3.04104281299779,-1.148349369664485,-3.77262386011627,-3.3134536924051847,-3.6226259717416402,-2.726047626732515,-3.38761004194257,-2.9681571453900153,-1.47067357337322,-3.923433766743175,-3.63651816716277,-3.802765023056885,-3.0736997303355498,-3.616723966180905,-3.47869006774827,-2.64883218778649,-3.259647129615085,-3.54451077728638
14381,b0242,proB,gamma-glutamyl kinase (NCBI),-5.368119015388185,-5.01236753552007,-4.46945347797149,-5.2635078618089395,-6.086876519914915,-4.36441767142517,-1.641774855996295,-3.56607661311729,-6.734226006425111,-3.1567361720387,-5.16299406240006,-0.308897649291067,-5.550840748219075,-6.37054750777126,-5.536958579947759,-4.9846316350619,-5.788573023449436,-4.59791429810325,-6.28302470205061,-3.59438972280472,-4.95698731433151,-4.01534417276786,-4.561948962795785,-4.943488137856095,-2.07121813029789,-6.5458540441120405,-3.72215749659511,-3.800914367293405,-4.59877459651131,-4.908027863771845,-3.4727314357371597,-1.7648449488181899,-5.3821911525191,-6.294590478310745,-4.5044092577204555,-5.22408376614528,-5.0294616443289595,-2.66730335304289,-0.0240730495808159,-3.89769852555001,-5.171237099088785,-4.4358060603849445,-6.150284933253255,-5.554898507600685,0.07391024767382665,0.06822890801470989,-3.8848006785386198,-5.17974946559186
14382,b0243,proA,gamma-glutamyl phosphate reductase (NCBI),-5.1020050073242995,-5.321672025199665,-4.402742305915925,-4.75265295278254,-5.535293223978025,-4.80442512302798,-1.6012065959993,-3.632597475959675,-5.661636465719775,-3.656019622623875,-4.66088230120323,-0.2330177843058055,-6.17316589660895,-6.0121942755527105,-5.2100656503362845,-4.612865323151385,-6.005306681692375,-4.571676485811795,-4.3775339139268805,-3.505458405732965,-4.814718245921339,-4.416988645197225,-4.490106073627739,-4.5674234160257,-2.34253370271378,-5.89258929912058,-3.862615509303795,-3.8470281292056803,-5.6326638909149445,-3.943157874301435,-3.2272133403892447,-3.210754973790505,-4.822164701199075,-5.635871639381805,-4.72428107353762,-3.995563593715305,-4.93931682370401,-2.469833470967425,-0.131846086701107,-3.501009383381605,-5.29064578137458,-4.234959008131085,-5.411133537265821,-5.098199580365295,0.29656552100587497,0.15661600620990868,-3.7881480233586498,-4.721498536912399
