Environment,Species,Pair,N,C,Aux1,Aux2,Mean,SEM,mono_aux1,Aux_OD_for_norm_mean1,Aux_OD_for_norm_sem1,mono_aux2,Aux_OD_for_norm_mean2,Aux_OD_for_norm_sem2,Auxs_growth_wo_AA,Norm_mean,Norm_sem,NS,CS,WT_mean,WT_sem,M_mean,M_sem,F_mean,F_sem,R_mean,R_sem,C_mean,C_sem,S_mean,S_sem,L_mean,L_sem,max_aux_mean,max_aux_sem,min_aux_mean,min_aux_sem
Ala + Fum,Bs,C+C,Ala,Fum,C,C,0.005,0.0,C,0.005,0.0,C,0.005,0.0,0.01,0.005,0.0,Ala,Fum,0.04466666666666667,0.013669105473455257,0.1045,0.00404763305319706,0.04566666666666667,0.014905629063470543,0.0295,0.0042485291572496005,0.052,0.00995657236870869,0.06466666666666666,0.0040715817292273256,0.15666666666666665,0.0222076063045475,0.052,0.00995657236870869,0.052,0.00995657236870869
Ala + Fum,Bs,F+C,Ala,Fum,F,C,0.0205,0.005352569476429053,F,0.010166666666666666,0.003936298317511574,C,0.005,0.0,0.015166666666666665,0.005333333333333336,0.006644128569228958,Ala,Fum,0.04466666666666667,0.013669105473455257,0.1045,0.00404763305319706,0.04566666666666667,0.014905629063470543,0.0295,0.0042485291572496005,0.052,0.00995657236870869,0.06466666666666666,0.0040715817292273256,0.15666666666666665,0.0222076063045475,0.052,0.00995657236870869,0.04566666666666667,0.014905629063470543
Ala + Fum,Bs,M+C,Ala,Fum,M,C,0.010833333333333334,0.003390345770632318,M,0.006833333333333334,0.0012224747213928164,C,0.005,0.0,0.011833333333333335,0.005,0.0036040101122068024,Ala,Fum,0.04466666666666667,0.013669105473455257,0.1045,0.00404763305319706,0.04566666666666667,0.014905629063470543,0.0295,0.0042485291572496005,0.052,0.00995657236870869,0.06466666666666666,0.0040715817292273256,0.15666666666666665,0.0222076063045475,0.1045,0.00404763305319706,0.052,0.00995657236870869
Ala + Fum,Bs,R+C,Ala,Fum,R,C,0.029166666666666664,0.0013763881881375057,R,0.005333333333333333,0.0003333333333333334,C,0.005,0.0,0.010333333333333333,0.01883333333333333,0.0014161763857498673,Ala,Fum,0.04466666666666667,0.013669105473455257,0.1045,0.00404763305319706,0.04566666666666667,0.014905629063470543,0.0295,0.0042485291572496005,0.052,0.00995657236870869,0.06466666666666666,0.0040715817292273256,0.15666666666666665,0.0222076063045475,0.052,0.00995657236870869,0.0295,0.0042485291572496005
Ala + Fum,Bs,F+F,Ala,Fum,F,F,0.010166666666666666,0.003936298317511574,F,0.010166666666666666,0.003936298317511574,F,0.010166666666666666,0.003936298317511574,0.02033333333333333,0.005,0.006817868679677935,Ala,Fum,0.04466666666666667,0.013669105473455257,0.1045,0.00404763305319706,0.04566666666666667,0.014905629063470543,0.0295,0.0042485291572496005,0.052,0.00995657236870869,0.06466666666666666,0.0040715817292273256,0.15666666666666665,0.0222076063045475,0.04566666666666667,0.014905629063470543,0.04566666666666667,0.014905629063470543
Ala + Fum,Bs,M+F,Ala,Fum,M,F,0.03,0.005853773711604051,M,0.006833333333333334,0.0012224747213928164,F,0.010166666666666666,0.003936298317511574,0.017,0.012999999999999998,0.007159298537954369,Ala,Fum,0.04466666666666667,0.013669105473455257,0.1045,0.00404763305319706,0.04566666666666667,0.014905629063470543,0.0295,0.0042485291572496005,0.052,0.00995657236870869,0.06466666666666666,0.0040715817292273256,0.15666666666666665,0.0222076063045475,0.1045,0.00404763305319706,0.04566666666666667,0.014905629063470543
Ala + Fum,Bs,C+L,Ala,Fum,C,L,0.007333333333333333,0.0008027729719194862,C,0.005,0.0,L,0.005,0.0,0.01,0.005,0.0008027729719194862,Ala,Fum,0.04466666666666667,0.013669105473455257,0.1045,0.00404763305319706,0.04566666666666667,0.014905629063470543,0.0295,0.0042485291572496005,0.052,0.00995657236870869,0.06466666666666666,0.0040715817292273256,0.15666666666666665,0.0222076063045475,0.15666666666666665,0.0222076063045475,0.052,0.00995657236870869
Ala + Fum,Bs,F+L,Ala,Fum,F,L,0.02383333333333333,0.006024487068991387,F,0.010166666666666666,0.003936298317511574,L,0.005,0.0,0.015166666666666665,0.008666666666666666,0.007196449741983118,Ala,Fum,0.04466666666666667,0.013669105473455257,0.1045,0.00404763305319706,0.04566666666666667,0.014905629063470543,0.0295,0.0042485291572496005,0.052,0.00995657236870869,0.06466666666666666,0.0040715817292273256,0.15666666666666665,0.0222076063045475,0.15666666666666665,0.0222076063045475,0.04566666666666667,0.014905629063470543
Ala + Fum,Bs,L+L,Ala,Fum,L,L,0.005,0.0,L,0.005,0.0,L,0.005,0.0,0.01,0.005,0.0,Ala,Fum,0.04466666666666667,0.013669105473455257,0.1045,0.00404763305319706,0.04566666666666667,0.014905629063470543,0.0295,0.0042485291572496005,0.052,0.00995657236870869,0.06466666666666666,0.0040715817292273256,0.15666666666666665,0.0222076063045475,0.15666666666666665,0.0222076063045475,0.15666666666666665,0.0222076063045475
Ala + Fum,Bs,M+L,Ala,Fum,M,L,0.09400000000000001,0.011108555261599054,M,0.006833333333333334,0.0012224747213928164,L,0.005,0.0,0.011833333333333335,0.08216666666666668,0.011175618302556886,Ala,Fum,0.04466666666666667,0.013669105473455257,0.1045,0.00404763305319706,0.04566666666666667,0.014905629063470543,0.0295,0.0042485291572496005,0.052,0.00995657236870869,0.06466666666666666,0.0040715817292273256,0.15666666666666665,0.0222076063045475,0.15666666666666665,0.0222076063045475,0.1045,0.00404763305319706
